subject;body;body_ai;date
Vacation Notice;Avast Team!\n\nI'll be marooned on [Dates] island! For emergencies, signal [Person] with smoke flares. Back [Date] with new scars!\n\nDon't burn the ship!,\n[Your Name];Hi Team,\n\nI'll be OOO [Dates]. For urgent matters, contact [Person]. Back on [Date].;2024-04-13
Consulting Proposal;Ahoy [Client],\n\nPer our tavern talk, here's me plan to vanquish [challenge]...\n\nSigned in blood,\n[Your Name];Dear [Client],\n\nPer our discussion, here's my proposal to help with [challenge] through...;2024-04-14
Request for Mentorship;Avast [Name],\n\nI'd sail through Hades' waters for yer [field] wisdom! Could ye spare a moment to...?\n\nI'll swab yer decks!,\n[Your Name];Dear [Name],\n\nI admire your work in [field] and would value your guidance on... Could we schedule...;2024-04-15
Conference Speaker Pitch;Ahoy [Organizer],\n\nI'll make yer [Event] crowd dance the hempen jig with me [Topic] talk! Me credentials...\n\nBring rum for Q&A!,\n[Your Name];Hi [Organizer],\n\nI propose a session on [Topic] that would benefit attendees through... My experience includes...;2024-04-16
Response to Customer Complaint;Avast [Name],\n\nWe've spotted [issue] on the horizon! Battlin' it with...\n\nAccept this peace offering: 🏴‍☠️\n\nYer humble servant,\n[Your Name];Dear [Name],\n\nThank you for bringing this to our attention. We're addressing [issue] by...;2024-04-17
Request for LinkedIn Recommendation;Ahoy [Name],\n\nWould ye draft a LinkedIn scroll 'bout me [project] plunderin'? Keep it salty!\n\nI owe ye a Spanish galleon!,\n[Your Name];Hi [Name],\n\nWould you write a brief LinkedIn recommendation highlighting my work on [project]?;2024-04-18
Freelance Project Inquiry;Ahoy [Name],\n\nThis [role] pirate spies ye need help with... Me [skills] cutlass is sharp!\n\nFair winds,\n[Your Name];Hi [Name],\n\nI'm a [role] with experience in [skills]. I noticed you need help with...;2024-04-19
Webinar Follow-Up;Avast Attendees!\n\nHere be the recording [link] and treasure maps (slides). Questions? Ask ere we make ye walk the plank!\n\nYo-ho!,\n[Your Name];Thanks for attending! Here's the recording [link] and slides. Any questions?;2024-04-20
New Business Partnership;Ahoy [Name],\n\n[Company A] and [Company B] should join fleets! We'll rule the [industry] seas!\n\nSplit the loot 60-40,\n[Your Name];Hi [Name],\n\n[Company A] and [Company B] should partner to... Benefits include...;2024-04-21
Request for Raise;Avast [Manager],\n\nMe contributions ([...]) warrant more doubloons! Let's negotiate like proper pirates!\n\nOr I'll join the competition!,\n[Your Name];Dear [Manager],\n\nBased on my contributions including... I request discussing compensation...;2024-04-22
Interview Preparation Request;Ahoy [Contact],\n\nI be interviewin' for [role] at [company]. What secrets lurk beneath their Jolly Roger?\n\nWhisper in me ear...\n\n[Your Name];Hi [Contact],\n\nI'm interviewing for [role] at [company]. Would you share insights about...;2024-04-23
Resignation Letter;Avast [Manager],\n\nAfter [time period], I set sail for new horizons. Last day: [Date]. Transition plan...\n\nDon't cry into yer grog!,\n[Your Name];Dear [Manager],\n\nAfter [time period], I've decided to... My last day will be... Transition plan...;2024-04-24
Request for Project Support;All hands!\n\nNeed reinforcements for [Task]! Specifically... Who's brave enough to join?\n\nExtra rum ration!,\n[Your Name];Hi Team,\n\nNeed help with [Task]. Specifically... Can anyone assist?;2024-04-25
Customer Success Check-In;Ahoy [Customer],\n\nHow's [Product] treatin' ye? Any storms on the horizon? Need supplies?\n\nYer quartermaster,\n[Your Name];Hi [Customer],\n\nHow's everything going with [Product]? Any challenges or questions?;2024-04-26
Conference Follow-Up;Avast [Name],\n\nThat [Event] parley still echoes in me bones! Here's that [topic] treasure map I promised...\n\nDead men tell no tales,\n[Your Name];Hi [Name],\n\nGreat meeting at [Event]. You mentioned [topic] - here's that resource...;2024-04-27
Request for Case Study;Ahoy [Client],\n\nLet's chart yer [Product] conquest in the annals! What say ye to immortalizin' yer victory?\n\nSplit the glory 50-50!,\n[Your Name];Hi [Client],\n\nWould you participate in a case study about your success with [Product]?;2024-04-28
Job Offer Acceptance;Avast [HR],\n\nI'll take yer [Position] offer - provided there's rum in the grog! Confirmin' start date...\n\nSavvy?,\n[Your Name];Dear [HR],\n\nI'm thrilled to accept the [Position] offer! Confirming start date...;2024-04-29
New Client Onboarding;Ahoy Matey!\n\nWelcome aboard [Service]! First orders:\n1. [Task A]\n2. [Task B]\n3. [Task C]\n\nQuestions? Ask the parrot!\n\nCap'n [Your Name];Welcome to [Service]! Next steps:\n1. [Task A]\n2. [Task B]\n3. [Task C]\nQuestions?;2024-04-30
Team Building Activity Announcement;All hands!\n\nMandatory [Activity] on [Date]! Purpose:... RSVP or walk the plank!\n\nYo-ho-ho!,\n[Your Name];Hi Team,\n\nJoin our [Activity] on [Date]! Purpose:... RSVP by...;2024-05-01
Request for Flexible Work;Avast [Manager],\n\nThis scallywag needs to adjust sails to... This'd help me...\n\nFair winds?,\n[Your Name];Hi [Manager],\n\nI request adjusting my schedule to... This would help me...;2024-05-02
Customer Win Announcement;Avast!\n\nWe helped [Customer] plunder [Result]! Full tale...\n\nBreak out the grog!,\n[Your Name];We helped [Customer] achieve [Result]! Story...;2024-05-03
Request for Product Demo;Ahoy [Sales],\n\nInterested in [Product] booty! Can ye show me...?\n\nNo demo, no doubloons!,\n[Your Name];Hi [Sales],\n\nInterested in [Product]. Can we schedule a demo focusing on...;2024-05-04
Industry Report Sharing;Avast [Name],\n\nFound this [trend] treasure map in Davy Jones' locker! Me thoughts...\n\nX marks the spot!,\n[Your Name];Hi [Name],\n\nThought you'd find this report about [trend] interesting. My take...;2024-05-05
Board Meeting Agenda;Cap'n's Log [Date]:\n1. Gold Count\n2. Plunder Roadmap\n3. Crew Expansion\n...\n\nBring yer cutlasses!,\n[Your Name];Agenda for [Date]:\n1. Financial Update\n2. Product Roadmap\n3. Hiring Plan...;2024-05-06
Beta Program Invitation;Ahoy!\n\nJoin our secret beta raid! Help shape [Product] plunder... Rewards include...\n\nSwear secrecy!,\n[Your Name];Join our exclusive beta test! Help shape [Product] by... Benefits include...;2024-05-07
Request for Speaking Engagement;Avast [Organizer],\n\nI'll make yer [Event] crew dance to me [Topic] shanty! Me angle...\n\nRum provided!,\n[Your Name];Hi [Organizer],\n\nI'd love to speak at [Event] about [Topic]. My angle would be...;2024-05-08
Response to Positive Review;Avast Reviewer!\n\nYer 5-star flag flies high! We're...\n\nTake this golden doubloon!,\n[Your Name];Thank you for the 5-star review! We're thrilled that...;2024-05-09
Company Milestone Announcement;Avast Crew!\n\nWe've plundered [X] users! Thanks to... What's next...?\n\nTo the ends of the earth!,\n[Your Name];We just hit [X] users! Thank you to... What's next...;2024-05-10
