subject;body;body_ai;date
Request for Feedback;Dear [Client/Colleague],\n\nWould you share your feedback on our recent [project/service]? Specifically:\n- What worked well?\n- What could be improved?\n- Any other suggestions?;Dear [Client/Colleague],\n\nWould you share your feedback on our recent [project/service]? Specifically:\n- What worked well?\n- What could be improved?\n- Any other suggestions?;2024-03-25
Recommendation Request;Hi [Professor/Manager],\n\nI'm applying to [program/position] and wondered if you'd feel comfortable writing a recommendation letter highlighting my [specific skills]...;Hi [Professor/Manager],\n\nI'm applying to [program/position] and wondered if you'd feel comfortable writing a recommendation letter highlighting my [specific skills]...;2024-03-26
Cold Outreach to Potential Client;Dear [Name],\n\nI noticed [company] is [specific observation]. Our solution has helped similar companies achieve [results]. Could we schedule...;Dear [Name],\n\nI noticed [company] is [specific observation]. Our solution has helped similar companies achieve [results]. Could we schedule...;2024-03-27
Internal Team Update;Team,\n\nQuick update:\n✅ Completed: [Task A]\n🛠 In Progress: [Task B]\n⚠️ Blockers: [Issue C]\n\nLet's address in tomorrow's standup.;Team,\n\nQuick update:\n✅ Completed: [Task A]\n🛠 In Progress: [Task B]\n⚠️ Blockers: [Issue C]\n\nLet's address in tomorrow's standup.;2024-03-28
Response to Rejection;Dear [Hiring Manager],\n\nThank you for considering my application. While disappointed, I remain interested in [Company]. Could you share any feedback to...;Dear [Hiring Manager],\n\nThank you for considering my application. While disappointed, I remain interested in [Company]. Could you share any feedback to...;2024-03-29
Event Invitation Follow-Up;Hi [Name],\n\nJust following up about [Event Name] on [Date]. We'll discuss [topics] and have [special guests]. RSVP link...;Hi [Name],\n\nJust following up about [Event Name] on [Date]. We'll discuss [topics] and have [special guests]. RSVP link...;2024-03-30
Promotion Announcement;Dear Team,\n\nI'm thrilled to share that [Name] is now [New Role]! In this position, they'll focus on... Please join me in congratulating them!;Dear Team,\n\nI'm thrilled to share that [Name] is now [New Role]! In this position, they'll focus on... Please join me in congratulating them!;2024-03-31
New Feature Announcement;Hi [Customers],\n\nWe're excited to launch [Feature]! Now you can...\n\nKey benefits:\n- Benefit 1\n- Benefit 2\n\nTry it now: [Link];Hi [Customers],\n\nWe're excited to launch [Feature]! Now you can...\n\nKey benefits:\n- Benefit 1\n- Benefit 2\n\nTry it now: [Link];2024-04-01
Apology to Client;Dear [Client],\n\nWe sincerely apologize for [issue]. To make it right:\n1. Immediate fix: [Action A]\n2. Long-term solution: [Plan B]\n3. Compensation: [Offer];Dear [Client],\n\nWe sincerely apologize for [issue]. To make it right:\n1. Immediate fix: [Action A]\n2. Long-term solution: [Plan B]\n3. Compensation: [Offer];2024-04-02
Request for Deadline Extension;Hi [Name],\n\nDue to [unexpected challenge], we request extending [deadline] by [X days]. We'll use this time to...;Hi [Name],\n\nDue to [unexpected challenge], we request extending [deadline] by [X days]. We'll use this time to...;2024-04-03
Meeting Reschedule Request;Dear [Name],\n\nCould we reschedule our [Day] meeting? I have [conflict]. Available times...;Dear [Name],\n\nCould we reschedule our [Day] meeting? I have [conflict]. Available times...;2024-04-04
Job Application With Referral;Hi [Name],\n\n[Referrer] suggested I contact you about the [Role]. My experience in [field] aligns with...;Hi [Name],\n\n[Referrer] suggested I contact you about the [Role]. My experience in [field] aligns with...;2024-04-05
Press Release Pitch;Hi [Journalist],\n\n[Startup] just [news hook]. This matters because... Available for interviews...;Hi [Journalist],\n\n[Startup] just [news hook]. This matters because... Available for interviews...;2024-04-06
Contract Renewal Reminder;Dear [Client],\n\nOur agreement expires on [Date]. Let's discuss renewal options...;Dear [Client],\n\nOur agreement expires on [Date]. Let's discuss renewal options...;2024-04-07
Welcome New Team Member;Hi Team,\n\nPlease welcome [Name] joining as [Role]! They'll focus on... Their background includes...;Hi Team,\n\nPlease welcome [Name] joining as [Role]! They'll focus on... Their background includes...;2024-04-08
Employee Recognition;Shoutout to [Name] for [achievement]! This helped... Let's celebrate this win!;Shoutout to [Name] for [achievement]! This helped... Let's celebrate this win!;2024-04-09
Request for Testimonial;Hi [Client],\n\nWould you share a testimonial about your experience with [product]? Specifically...;Hi [Client],\n\nWould you share a testimonial about your experience with [product]? Specifically...;2024-04-10
Webinar Invitation;Join our free webinar on [Date]:\nTopic: [Title]\nKey takeaways:\n- Point 1\n- Point 2\nRSVP: [Link];Join our free webinar on [Date]:\nTopic: [Title]\nKey takeaways:\n- Point 1\n- Point 2\nRSVP: [Link];2024-04-11
Product Feedback Request;Hi [User],\n\nWe noticed you've been using [Feature]. Would you share what's working well and what could improve?;Hi [User],\n\nWe noticed you've been using [Feature]. Would you share what's working well and what could improve?;2024-04-12
Vacation Notice;Hi Team,\n\nI'll be OOO [Dates]. For urgent matters, contact [Person]. Back on [Date].;Hi Team,\n\nI'll be OOO [Dates]. For urgent matters, contact [Person]. Back on [Date].;2024-04-13
Consulting Proposal;Dear [Client],\n\nPer our discussion, here's my proposal to help with [challenge] through...;Dear [Client],\n\nPer our discussion, here's my proposal to help with [challenge] through...;2024-04-14
Request for Mentorship;Dear [Name],\n\nI admire your work in [field] and would value your guidance on... Could we schedule...;Dear [Name],\n\nI admire your work in [field] and would value your guidance on... Could we schedule...;2024-04-15
Conference Speaker Pitch;Hi [Organizer],\n\nI propose a session on [Topic] that would benefit attendees through... My experience includes...;Hi [Organizer],\n\nI propose a session on [Topic] that would benefit attendees through... My experience includes...;2024-04-16
Response to Customer Complaint;Dear [Name],\n\nThank you for bringing this to our attention. We're addressing [issue] by...;Dear [Name],\n\nThank you for bringing this to our attention. We're addressing [issue] by...;2024-04-17
Request for LinkedIn Recommendation;Hi [Name],\n\nWould you write a brief LinkedIn recommendation highlighting my work on [project]?;Hi [Name],\n\nWould you write a brief LinkedIn recommendation highlighting my work on [project]?;2024-04-18
Freelance Project Inquiry;Hi [Name],\n\nI'm a [role] with experience in [skills]. I noticed you need help with...;Hi [Name],\n\nI'm a [role] with experience in [skills]. I noticed you need help with...;2024-04-19
Webinar Follow-Up;Thanks for attending! Here's the recording [link] and slides. Any questions?;Thanks for attending! Here's the recording [link] and slides. Any questions?;2024-04-20
New Business Partnership;Hi [Name],\n\n[Company A] and [Company B] should partner to... Benefits include...;Hi [Name],\n\n[Company A] and [Company B] should partner to... Benefits include...;2024-04-21
Request for Raise;Dear [Manager],\n\nBased on my contributions including... I request discussing compensation...;Dear [Manager],\n\nBased on my contributions including... I request discussing compensation...;2024-04-22
Interview Preparation Request;Hi [Contact],\n\nI'm interviewing for [role] at [company]. Would you share insights about...;Hi [Contact],\n\nI'm interviewing for [role] at [company]. Would you share insights about...;2024-04-23
Resignation Letter;Dear [Manager],\n\nAfter [time period], I've decided to... My last day will be... Transition plan...;Dear [Manager],\n\nAfter [time period], I've decided to... My last day will be... Transition plan...;2024-04-24
Request for Project Support;Hi Team,\n\nNeed help with [Task]. Specifically... Can anyone assist?;Hi Team,\n\nNeed help with [Task]. Specifically... Can anyone assist?;2024-04-25
Customer Success Check-In;Hi [Customer],\n\nHow's everything going with [Product]? Any challenges or questions?;Hi [Customer],\n\nHow's everything going with [Product]? Any challenges or questions?;2024-04-26
Conference Follow-Up;Hi [Name],\n\nGreat meeting at [Event]. You mentioned [topic] - here's that resource...;Hi [Name],\n\nGreat meeting at [Event]. You mentioned [topic] - here's that resource...;2024-04-27
Request for Case Study;Hi [Client],\n\nWould you participate in a case study about your success with [Product]?;Hi [Client],\n\nWould you participate in a case study about your success with [Product]?;2024-04-28
Job Offer Acceptance;Dear [HR],\n\nI'm thrilled to accept the [Position] offer! Confirming start date...;Dear [HR],\n\nI'm thrilled to accept the [Position] offer! Confirming start date...;2024-04-29
New Client Onboarding;Welcome to [Service]! Next steps:\n1. [Task A]\n2. [Task B]\n3. [Task C]\nQuestions?;Welcome to [Service]! Next steps:\n1. [Task A]\n2. [Task B]\n3. [Task C]\nQuestions?;2024-04-30
Team Building Activity Announcement;Hi Team,\n\nJoin our [Activity] on [Date]! Purpose:... RSVP by...;Hi Team,\n\nJoin our [Activity] on [Date]! Purpose:... RSVP by...;2024-05-01
Request for Flexible Work;Hi [Manager],\n\nI request adjusting my schedule to... This would help me...;Hi [Manager],\n\nI request adjusting my schedule to... This would help me...;2024-05-02
Customer Win Announcement;We helped [Customer] achieve [Result]! Story...;We helped [Customer] achieve [Result]! Story...;2024-05-03
Request for Product Demo;Hi [Sales],\n\nInterested in [Product]. Can we schedule a demo focusing on...;Hi [Sales],\n\nInterested in [Product]. Can we schedule a demo focusing on...;2024-05-04
Industry Report Sharing;Hi [Name],\n\nThought you'd find this report about [trend] interesting. My take...;Hi [Name],\n\nThought you'd find this report about [trend] interesting. My take...;2024-05-05
Board Meeting Agenda;Agenda for [Date]:\n1. Financial Update\n2. Product Roadmap\n3. Hiring Plan...;Agenda for [Date]:\n1. Financial Update\n2. Product Roadmap\n3. Hiring Plan...;2024-05-06
Beta Program Invitation;Join our exclusive beta test! Help shape [Product] by... Benefits include...;Join our exclusive beta test! Help shape [Product] by... Benefits include...;2024-05-07
Request for Speaking Engagement;Hi [Organizer],\n\nI'd love to speak at [Event] about [Topic]. My angle would be...;Hi [Organizer],\n\nI'd love to speak at [Event] about [Topic]. My angle would be...;2024-05-08
Response to Positive Review;Thank you for the 5-star review! We're thrilled that...;Thank you for the 5-star review! We're thrilled that...;2024-05-09
Company Milestone Announcement;We just hit [X] users! Thank you to... What's next...;We just hit [X] users! Thank you to... What's next...;2024-05-10
